,Train Loss,Val Loss
0,0.0017202375015454437,0.0007281516554697736
1,0.0005475921537494555,0.0006431544059711795
2,0.00047656606765804447,0.000610681891674731
3,0.00044308029826994313,0.0005366902884797522
4,0.00041393404170710183,0.0005155535330264722
5,0.00039112324831223476,0.00046030644151012865
6,0.0003755360545739191,0.00046552038522764647
7,0.00036242006374634145,0.0004486087916286068
8,0.0003527856293910511,0.0004026106532936789
9,0.00033624084139947236,0.0004449307649191888
10,0.00032623449151993517,0.0004217610373836631
11,0.00032116947314921317,0.0004308660338683536
12,0.0003140028732833487,0.00042355952595160746
13,0.00030974435427369543,0.00042443971503588974
14,0.0003005431591024361,0.0004109626919803859
